block_group,site_id,DestinationRank,TravelTime,Miles,Kilometers
128,1,26,34.4155609,11.69646274,18.81960854
128,2,25,32.06119229,11.60173422,18.66719035
128,3,34,40.60989533,13.95308328,22.45051099
128,4,7,24.15583234,7.284520339,11.72079323
128,5,13,29.37951405,8.626327985,13.87976173
128,6,24,26.69676709,11.58378728,18.63831373
128,7,12,27.96483613,7.975280095,12.83222567
128,8,23,32.84268267,11.38930884,18.32539792
128,9,37,41.78039604,16.50886073,26.56275691
128,10,39,42.04417962,17.60549777,28.32724592
128,11,38,31.038232,17.40415735,28.00328918
128,12,9,20.94366579,7.503130186,12.07253647
128,13,20,27.6363739,10.43751308,16.79395855
128,14,42,49.72619911,19.37320021,31.17147914
128,15,11,20.88202739,7.899445937,12.71020851
128,16,18,24.47013645,10.12900274,16.2975654
128,17,29,28.57219749,12.9030923,20.76107551
128,18,41,36.15148305,18.43433686,29.66084801
128,19,16,28.30680845,9.268683276,14.91331139
128,20,21,27.18089847,10.8834662,17.51149712
128,21,31,38.18373158,13.81854085,22.23403223
128,22,46,48.376935,21.18963125,34.09411668
128,23,19,30.23779645,10.20237081,16.41561464
128,24,40,38.04430978,17.66707757,28.42632781
128,25,28,29.39113106,12.23280668,19.68258595
128,26,27,34.4155609,11.69646274,18.81960854
128,27,8,20.98880254,7.379222518,11.87316903
128,28,15,35.88009145,9.113282043,14.66327081
128,29,47,44.68704866,21.42757878,34.47697426
128,30,2,9.686204316,2.232441088,3.59199771
128,31,1,6.616897634,1.394335692,2.243486128
128,32,22,27.51139435,10.9609271,17.6361317
128,33,43,44.88864974,19.72739933,31.74138552
128,34,14,25.66362586,9.04866848,14.55930758
128,35,10,29.01746389,7.839308149,12.61344681
128,36,33,40.49070707,13.93024633,22.41376634
128,37,45,54.38712532,20.64742454,33.22170608
128,38,36,42.49757191,16.17527256,26.02601354
128,39,30,29.33894499,13.64492101,21.95467791
128,40,5,18.74828597,5.082063912,8.177040834
128,41,17,28.85703324,10.0200663,16.12228667
128,42,35,39.79348156,15.33723114,24.67760491
128,43,32,39.2913449,13.91601505,22.39086822
128,44,44,46.3657138,20.2854476,32.63928519
128,45,6,22.88471293,6.568797728,10.56919554
128,46,3,8.856106466,2.23296068,3.592833734
128,47,4,13.72755677,4.032873614,6.488893645
129,1,26,34.65997734,11.74122912,18.89163766
129,2,25,32.30560873,11.6465006,18.73921947
129,3,34,40.85431177,13.99784967,22.52254011
129,4,8,24.40024879,7.329286727,11.79282234
129,5,13,27.37265602,8.272432628,13.3103441
129,6,24,26.94118354,11.62855367,18.71034285
129,7,11,28.20925257,8.020046483,12.90425479
129,8,23,33.08709912,11.43407523,18.39742704
129,9,36,39.77353802,16.15496537,25.99333928
129,10,39,42.28859606,17.65026416,28.39927504
129,11,38,33.04246113,17.55831464,28.25132826
129,12,7,20.10736018,7.234982955,11.64108757
129,13,21,27.08327182,10.76883641,17.32705779
129,14,42,47.71934108,19.01930486,30.60206151
129,15,12,22.88625652,8.053603223,12.95824759
129,16,19,23.91703436,10.46032607,16.83066465
129,17,29,30.57642662,13.05724958,21.00911458
129,18,41,38.15571219,18.58849415,29.90888708
129,19,16,28.5512249,9.313449664,14.98534051
129,20,20,28.71666796,10.66467641,17.15946435
129,21,32,38.42814802,13.86330724,22.30606135
129,22,46,48.62135144,21.23439764,34.1661458
129,23,18,30.48221289,10.2471372,16.48764376
129,24,40,38.17610869,17.99076421,28.94713962
129,25,28,29.63554751,12.27757307,19.75461506
129,26,27,34.65997734,11.74122912,18.89163766
129,27,9,21.84806944,7.73628608,12.4476843
129,28,14,36.1245079,9.158048431,14.73529993
129,29,47,46.7474136,21.96928111,35.34857331
129,30,2,9.894335768,2.336042174,3.758691857
129,31,1,4.608704092,1.025903426,1.650678613
129,32,22,28.37066125,11.31799066,18.21064697
129,33,43,45.13306619,19.77216572,31.81341464
129,34,15,25.56956033,9.254616102,14.89067731
129,35,10,29.26188033,7.884074537,12.68547593
129,36,30,38.48384905,13.57635097,21.84434871
129,37,45,54.63154177,20.69219093,33.2937352
129,38,37,42.74198836,16.22003894,26.09804266
129,39,31,31.34317412,13.7990783,22.20271698
129,40,5,16.74142795,4.728168554,7.607623204
129,41,17,29.10144968,10.06483268,16.19431579
129,42,35,40.03789801,15.38199753,24.74963402
129,43,33,39.53576135,13.96078144,22.46289733
129,44,44,46.61013025,20.33021399,32.71131431
129,45,6,20.8778549,6.21490237,9.999777914
129,46,3,10.31272504,2.375918766,3.822853295
129,47,4,13.17445469,4.364196947,7.021992888
130,1,25,33.63135966,11.42445107,18.38194177
130,2,23,31.27699104,11.32972255,18.22952358
130,3,33,39.82569409,13.68107161,22.01284422
130,4,7,23.3716311,7.012508672,11.28312645
130,5,11,26.24665472,7.904435901,12.71823736
130,6,22,25.91256585,11.31177561,18.20064696
130,7,8,20.89298879,7.384577841,11.88178575
130,8,21,32.05848143,11.11729717,17.88773115
130,9,36,38.64753672,15.78696864,25.40123255
130,10,38,41.25997838,17.33348611,27.88957915
130,11,40,33.25686013,17.9339176,28.85567343
130,12,10,21.93541673,7.573253728,12.18536525
130,13,20,28.91132836,11.10710719,17.87133546
130,14,41,46.59333979,18.65130813,30.00995478
130,15,13,23.10065552,8.429206187,13.56259276
130,16,24,22.2768379,11.33645728,18.24035976
130,17,30,30.79082562,13.43285255,21.61345975
130,18,42,38.37011118,18.96409711,30.51323225
130,19,15,27.52260721,8.996671609,14.47564462
130,20,19,27.59066666,10.29667969,16.56735762
130,21,31,37.39953034,13.54652918,21.79636546
130,22,46,47.59273376,20.91761958,33.65644991
130,23,18,29.4535952,9.930359146,15.97794787
130,24,39,37.147491,17.67398616,28.43744373
130,25,28,28.60692982,11.96079501,19.24491917
130,26,26,33.63135966,11.42445107,18.38194177
130,27,12,23.65060221,8.10554919,13.04182865
130,28,14,35.09589021,8.841270376,14.22560404
130,29,47,46.24055294,21.99342743,35.38742473
130,30,2,13.73219041,2.346152089,3.774958711
130,31,1,5.094197021,1.042021934,1.676613291
130,32,27,30.17319402,11.68725377,18.80479131
130,33,43,44.1044485,19.45538766,31.30371875
130,34,16,25.78395933,9.630219067,15.49502248
130,35,9,28.95981961,7.566641318,12.17472588
130,36,29,37.35784775,13.20835424,21.25224198
130,37,45,53.60292408,20.37541287,32.78403931
130,38,37,41.71337067,15.90326089,25.58834677
130,39,34,31.55757312,14.17468126,22.80706216
130,40,4,15.61542665,4.360171828,7.015516471
130,41,17,28.072832,9.748054628,15.6846199
130,42,35,39.00928032,15.06521947,24.23993813
130,43,32,38.50714366,13.64400338,21.95320144
130,44,44,45.58151256,20.01343594,32.20161842
130,45,6,19.75185361,5.846905644,9.407671181
130,46,3,12.19902037,2.882068695,4.637248531
130,47,5,15.00251123,4.70246772,7.566270561
131,1,24,33.19998374,11.23737793,18.08094108
131,2,23,30.84561513,11.14264941,17.9285229
131,3,33,39.39431817,13.49399847,21.71184354
131,4,7,22.94025519,6.82543553,10.98212577
131,5,12,26.46172985,8.095511106,13.02567737
131,6,22,25.48118994,11.12470247,17.89964627
131,7,9,26.74925897,7.516195285,12.09355821
131,8,20,31.62710552,10.93022403,17.58673047
131,9,37,38.86261184,15.97804385,25.70867255
131,10,38,40.82860247,17.14641296,27.58857846
131,11,40,33.55539261,17.70404219,28.48580388
131,12,10,22.48371342,7.741921945,12.45675241
131,13,21,28.39085128,11.00080999,17.70030327
131,14,42,46.80841491,18.84238333,30.31739478
131,15,13,23.399188,8.19933077,13.19272321
131,16,26,25.04855341,11.33754531,18.2421104
131,17,29,31.0893581,13.20297713,21.2435902
131,18,41,38.66864367,18.7342217,30.14336271
131,19,15,27.0912313,8.809598467,14.17464393
131,20,19,27.80574179,10.48775489,16.87479762
131,21,30,36.96815442,13.35945604,21.49536477
131,22,46,47.16135784,20.73054644,33.35544922
131,23,18,29.02221929,9.743286003,15.67694718
131,24,39,36.71611509,17.48691302,28.13644304
131,25,28,28.17555391,11.77372187,18.94391849
131,26,25,33.19998374,11.23737793,18.08094108
131,27,11,22.68481598,7.926401492,12.75358
131,28,14,34.6645143,8.654197234,13.92460335
131,29,47,47.20420927,21.72746361,34.95948895
131,30,2,11.62378563,2.071681075,3.33333485
131,31,1,5.642493718,1.210690151,1.948000452
131,32,27,29.2074078,11.50810607,18.51654267
131,33,43,43.67307259,19.26831452,31.00271806
131,34,16,26.08249181,9.40034365,15.12515293
131,35,8,28.78501066,7.379002762,11.87281544
131,36,31,37.57292287,13.39942945,21.55968198
131,37,45,53.17154817,20.18833973,32.48303862
131,38,36,41.28199476,15.71618775,25.28734608
131,39,34,31.8561056,13.94480585,22.43719261
131,40,4,15.83050177,4.551247032,7.322956475
131,41,17,27.64145609,9.560981486,15.38361921
131,42,35,38.57790441,14.87814633,23.93893745
131,43,32,38.07576775,13.45693024,21.65220076
131,44,44,45.15013665,19.82636279,31.90061774
131,45,6,19.96692873,6.037980848,9.715111185
131,46,3,9.610583841,2.796257586,4.499178457
131,47,5,14.48203415,4.596170521,7.395238368
132,1,26,34.49296104,11.90212644,19.15052144
132,2,25,32.13859243,11.80739792,18.99810325
132,3,33,40.68729547,14.15874698,22.78142389
132,4,9,24.23323248,7.490184041,12.05170612
132,5,14,31.41831961,9.104723462,14.64950005
132,6,24,26.77416724,11.78945098,18.96922663
132,7,12,28.04223627,8.180943797,13.16313857
132,8,23,32.92008281,11.59497254,18.65631082
132,9,38,43.8192016,16.9872562,27.33249523
132,10,41,42.12157976,17.81116148,28.65815881
132,11,37,28.66513251,16.71204574,26.8896816
132,12,10,22.04803431,7.662364724,12.32874484
132,13,18,25.59252361,10.12507617,16.29124756
132,14,42,44.28819057,19.41035177,31.23125599
132,15,8,18.5089279,7.207334325,11.59660093
132,16,17,22.42628615,9.81656583,15.79485442
132,17,28,26.199098,12.21098069,19.64746792
132,18,40,33.77838356,17.74222525,28.54724043
132,19,16,28.38420859,9.474346978,15.24422429
132,20,21,25.13704818,10.57102929,17.00878613
132,21,31,38.26113172,14.02420455,22.56494513
132,22,47,48.45433514,21.39529495,34.42502958
132,23,20,30.31519659,10.40803452,16.74652753
132,24,39,36.1794928,17.20050586,27.67561392
132,25,29,29.4685312,12.43847038,20.01349884
132,26,27,34.49296104,11.90212644,19.15052144
132,27,7,20.29792242,7.004115569,11.26962195
132,28,15,35.95749159,9.318945745,14.9941837
132,29,46,42.82223168,20.96100707,33.72626037
132,30,1,6.757952916,1.54814827,2.490970566
132,31,2,8.043517181,1.856982224,2.987884398
132,32,22,26.82051423,10.58582015,17.03258462
